Tm,Team,Division Wins,Conference,Division,More Than 5 Divison Wins,Conference - Division
ARI,ARI,3,NFC,West,No,NFC West
ATL,ATL,4,NFC,South,No,NFC South
BAL,BAL,6,AFC,North,Yes,AFC North
BUF,BUF,0,AFC,East,No,AFC East
CAR,CAR,5,NFC,South,Yes,NFC South
CHI,CHI,4,NFC,North,No,NFC North
CIN,CIN,4,AFC,North,No,AFC North
CLE,CLE,0,AFC,North,No,AFC North
DAL,DAL,5,NFC,East,Yes,NFC East
DEN,DEN,6,AFC,West,Yes,AFC West
DET,DET,0,NFC,North,No,NFC North
GNB,GB,10,NFC,North,Yes,NFC North
HOU,HOU,6,AFC,South,Yes,AFC South
IND,IND,9,AFC,South,Yes,AFC South
JAX,JAC,1,AFC,South,No,AFC South
KAN,KC,6,AFC,West,Yes,AFC West
LAC,LAC,0,AFC,West,Yes,AFC West
LAR,LAR,3,NFC,West,No,NFC West
MIA,MIA,1,AFC,East,No,AFC East
MIN,MIN,4,NFC,North,No,NFC North
NOR,NO,6,NFC,South,Yes,NFC South
NWE,NE,16,AFC,East,Yes,AFC East
NYG,NYG,3,NFC,East,No,NFC East
NYJ,NYJ,1,AFC,East,No,AFC East
OAK,LV,1,AFC,West,No,AFC West
PHI,PHI,8,NFC,East,Yes,NFC East
PIT,PIT,8,AFC,North,Yes,AFC North
SDG,LAC,5,AFC,West,Yes,AFC West
SEA,SEA,8,NFC,West,Yes,NFC West
SFO,SF,4,NFC,West,No,NFC West
STL,LAR,0,NFC,West,No,NFC West
TAM,TB,3,NFC,South,No,NFC South
TEN,TEN,2,AFC,South,No,AFC South
WAS,WAS,2,NFC,East,No,NFC East
